,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/fan/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/control/0,/nvidiagpu/0/load/3,/win32/load/0,/win32/load/1,/win32/data2/0,/win32/data2/1,/win32/iops/0,/win32/iops/1,/win32/iops/2,/DirectX/comment/0,/DirectX/comment/1,/DirectX/fps/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Fan","GPU Memory","CPU Usage(Process)","CPU Usage(Global)","Working Set","Page file Usage","Read Ops","Write Ops","Other Ops","Process Id","DirectX Version","FPS(Present)"
03/17/2015 17:56:16,3.125,3.125,7.8125,20.3125,8.59375,41,39,42,40,42,4399.997,4399.997,4399.997,4399.997,32.15687,22.4664555,0,4.97104025,99.99993,40.1859131,12.8287163,19.0947,37,1566,950.0095,3505.50024,1900.019,5,4,0,36,29.2169571,0,8.59375,694,942,0,0,0,14916,9,29.55665
03/17/2015 17:56:16,6.25,0,6.25,3.125,3.90625,40,39,41,38,41,4399.99561,4399.99561,4399.99561,4399.99561,26.9550037,16.9896946,0,4.718364,99.9999,40.1873245,12.8291664,19.09425,37,1568,950.0095,3505.50024,1900.019,1,3,0,36,29.1938782,0,3.78787875,694,942,2,2,0,14916,9,29.55665
03/17/2015 17:56:17,10.9375,0,3.125,1.5625,3.90625,40,38,41,37,41,4399.999,4399.999,4399.999,4399.999,27.2172318,17.3686142,0,4.64318752,99.9999847,40.1868477,12.8290138,19.0944023,38,1568,950.0095,3505.50024,1900.019,0,2,0,36,29.1938782,0,3.78787875,694,942,2,2,0,14916,9,29.55665
03/17/2015 17:56:18,9.375,1.5625,6.25,15.625,8.203125,38,37,39,37,39,4399.999,4399.999,4399.999,4399.999,28.4953861,18.4849625,0,4.75233126,99.9999847,40.18634,12.8288536,19.0945625,37,1572,950.0095,3505.50024,1900.019,0,2,0,36,29.1938782,0,8.203125,694,941,2,2,0,14916,9,29.55665
03/17/2015 17:56:19,1.5625,3.125,3.125,6.25,3.515625,39,37,38,37,39,4399.99756,4399.99756,4399.99756,4399.99756,18.6149559,9.589774,0,4.203185,99.99995,40.1864624,12.8288918,19.0945244,37,1572,950.0095,3505.50024,1900.019,0,2,0,36,29.1938782,0,3.515625,694,941,2,2,0,14916,9,29.55665
03/17/2015 17:56:20,1.5625,1.61290169,1.5625,4.6875,2.35635042,40,37,38,36,40,4399.997,4399.997,4399.997,4399.997,20.9517479,11.3407707,0,4.16574526,99.99993,40.18668,12.82896,19.0944557,37,1572,950.0095,3505.50024,1900.019,0,2,0,36,29.1938782,0,2.28136873,694,941,0,0,0,14916,9,29.55665
03/17/2015 17:56:21,0,1.5625,0,3.125,1.171875,38,37,38,36,38,4399.999,4399.999,4399.999,4399.999,19.3282013,10.1082182,0,4.246372,99.99998,40.1806679,12.8270416,19.0963745,37,1573,950.0095,3505.50024,1900.019,0,2,0,36,29.1938782,0,1.171875,691,941,0,0,0,14916,9,29.55665
03/17/2015 17:56:22,0,0,1.5625,1.5625,0.78125,37,37,37,35,38,4399.99951,4399.99951,4399.99951,4399.99951,18.0897064,9.088468,0,4.19556761,99.99999,40.18068,12.8270454,19.09637,38,1571,950.0095,3505.50024,1900.019,0,2,0,36,29.1938782,0,0.78125,691,941,0,0,0,14916,9,29.55665
03/17/2015 17:56:22,3.125,0,0,3.125,1.5625,39,37,39,38,39,4399.997,4399.997,4399.997,4399.997,19.2782574,10.2477255,0,4.303182,99.99993,40.1791153,12.8265457,19.09687,38,1568,950.0095,3505.50024,1900.019,0,2,0,36,29.1938782,0,1.5625,691,941,2,2,0,14916,9,29.55665
03/17/2015 17:56:23,3.125,0,0,3.125,1.5625,38,36,38,36,38,4399.998,4399.998,4399.998,4399.998,17.5966644,8.735733,0,4.21178961,99.99996,40.1791267,12.82655,19.0968666,38,1568,950.0095,3505.50024,1900.019,0,2,0,37,29.1938782,0,1.52091253,691,942,0,0,0,14916,9,29.55665
03/17/2015 17:56:24,1.5625,0,0,1.5625,0.78125,38,37,38,36,38,4400.00146,4400.00146,4400.00146,4400.00146,17.4826126,8.670039,0,4.178172,100.000038,40.1790924,12.8265381,19.0968781,38,1567,950.0095,3505.50024,1900.019,0,2,0,37,29.1938782,0,0.78125,691,942,0,0,0,14916,9,29.55665
03/17/2015 17:56:25,4.6875,0,3.125,1.5625,2.34375,38,36,38,37,38,4399.997,4399.997,4399.997,4399.997,16.6720829,8.048749,0,4.170539,99.99994,40.17903,12.826519,19.0968971,38,1571,950.0095,3505.50024,1900.019,0,2,0,37,29.1938782,0,2.27272725,691,942,0,0,0,14916,9,29.55665
03/17/2015 17:56:26,0,0,0,3.125,0.78125,39,36,37,35,39,4399.997,4399.997,4399.997,4399.997,16.980835,8.301234,0,4.196792,99.99994,40.1788025,12.8264465,19.09697,38,1571,950.0095,3505.50024,1900.019,0,2,0,37,29.1938782,0,0.78125,691,942,0,0,0,14916,9,29.55665
03/17/2015 17:56:26,0,0,1.5625,3.125,1.171875,39,37,37,37,39,4399.99658,4399.99658,4399.99658,4399.99658,18.7806549,9.92704,0,4.285091,99.99992,40.1788025,12.8264465,19.09697,38,1570,950.0095,3505.50024,1900.019,0,2,0,37,29.1938782,0,1.171875,691,942,2,2,0,14916,9,29.55665
03/17/2015 17:56:27,3.125,1.5625,3.07765,4.6875,3.11316252,39,36,37,36,39,4399.99854,4399.99854,4399.99854,4399.99854,17.1470032,8.484822,0,4.18296671,99.99997,40.1788025,12.8264465,19.09697,38,1572,950.0095,3505.50024,1900.019,0,2,0,37,29.1938782,0,3.125,691,942,0,0,0,14916,9,29.55665
03/17/2015 17:56:28,0,0,0,3.125,0.78125,37,37,38,35,38,4399.997,4399.997,4399.997,4399.997,17.0788879,8.38135,0,4.127582,99.99994,40.1788521,12.8264618,19.0969543,38,1572,950.0095,3505.50024,1900.019,0,2,0,37,29.1938782,0,0.78125,691,942,0,0,0,14916,9,29.55665
03/17/2015 17:56:29,0,0,0,1.5625,0.390625,37,37,38,36,38,4399.99854,4399.99854,4399.99854,4399.99854,16.9818687,8.191784,0,4.1689353,99.99997,40.1749077,12.8252029,19.0982132,38,1570,950.0095,3505.50024,1900.019,0,2,0,37,29.1938782,0,0.390625,691,942,0,0,0,14916,9,29.55665
03/17/2015 17:56:29,3.125,3.125,3.17540169,6.25,3.91885042,38,36,37,36,38,4399.99854,4399.99854,4399.99854,4399.99854,18.4201431,9.590056,0,4.241103,99.99997,40.17468,12.82513,19.0982857,38,1570,950.0095,3505.50024,1900.019,0,2,0,37,29.1938782,0,3.90625,691,942,2,2,0,14916,9,29.55665
03/17/2015 17:56:30,3.125,0,1.5625,3.125,1.953125,39,36,37,36,39,4399.99365,4399.99365,4399.99365,4399.99365,17.53255,8.860326,0,4.21704054,99.99985,40.1746941,12.8251343,19.0982819,38,1568,950.0095,3505.50024,1900.019,0,2,0,37,29.1938782,0,1.953125,691,942,0,0,0,14916,9,29.55665
03/17/2015 17:56:30,6.25,4.6875,6.25,6.25,5.859375,40,36,38,35,40,4400,4400,4400,4400,19.73083,10.70993,0,4.29219,100,40.1746674,12.8251266,19.09829,38,1567,950.0095,3505.50024,1900.019,0,2,0,37,29.1938782,0,5.681818,691,942,2,2,0,14916,9,29.55665
03/17/2015 17:56:31,0,0,0,3.125,0.78125,39,37,37,37,39,4400,4400,4400,4400,17.53501,8.65259552,0,4.216465,100,40.1746674,12.8251266,19.09829,38,1566,950.0095,3505.50024,1900.019,0,2,0,37,29.1938782,0,0.78125,691,942,2,2,0,14916,9,29.55665
03/17/2015 17:56:32,4.6875,0,1.5625,3.125,2.34375,39,37,37,35,39,4399.99658,4399.99658,4399.99658,4399.99658,17.246767,8.448721,0,4.18947649,99.99992,40.17381,12.824852,19.0985641,38,1566,950.0095,3505.50024,1900.019,0,2,0,37,29.1938782,0,2.67175579,691,942,0,0,0,14916,9,29.55665
03/17/2015 17:56:33,1.5625,0,0,1.5625,0.78125,39,37,38,37,39,4399.99854,4399.99854,4399.99854,4399.99854,20.9996815,11.3866081,0,4.32669926,99.99997,40.143898,12.8153038,19.1081123,38,1568,950.0095,3505.50024,1900.019,0,2,0,37,29.1938782,0,0.78125,691,942,0,0,0,14916,9,29.55665
03/17/2015 17:56:33,0,0,0,1.5625,0.390625,39,38,38,37,39,4399.99756,4399.99756,4399.99756,4399.99756,21.8222961,12.2440548,0,4.30230951,99.99995,40.158535,12.8199768,19.10344,38,1570,950.0095,3505.50024,1900.019,0,2,0,37,29.1938782,0,0.378787875,691,942,2,2,0,14916,9,29.55665
03/17/2015 17:56:34,0,0,1.5625,3.125,1.171875,40,38,38,37,40,4399.99756,4399.99756,4399.99756,4399.99756,21.92381,12.5668793,0,4.39145565,99.99995,40.15948,12.8202782,19.103138,38,1573,950.0095,3505.50024,1900.019,0,2,0,37,29.1938782,0,0.8,691,942,2,2,0,14916,9,29.55665
03/17/2015 17:56:35,6.25,0,0,4.6875,2.734375,40,38,39,36,40,4399.99756,4399.99756,4399.99756,4399.99756,23.0724068,13.6807127,0,4.42836571,99.99995,40.16027,12.82053,19.1028862,38,1573,950.0095,3505.50024,1900.019,0,2,0,37,29.1938782,0,2.734375,691,942,2,2,0,14916,9,29.55665
03/17/2015 17:56:36,4.6875,4.6875,3.125,3.125,3.90625,39,38,40,37,40,4399.996,4399.996,4399.996,4399.996,20.8248043,11.7309875,0,4.327772,99.9999161,40.172123,12.8243141,19.099102,38,1573,950.0095,3505.50024,1900.019,0,2,0,37,29.1938782,0,3.90625,691,942,0,0,0,14916,9,29.55665
03/17/2015 17:56:37,0,7.8125,0,3.125,2.734375,40,38,38,36,40,4399.99854,4399.99854,4399.99854,4399.99854,22.8104248,13.6202059,0,4.459899,99.99996,40.17609,12.8255806,19.0978355,38,1573,950.0095,3505.50024,1900.019,0,2,0,37,29.1938782,0,3.053435,691,942,0,0,0,14916,9,29.55665
03/17/2015 17:56:38,3.125,0,1.5625,3.125,1.953125,38,36,37,36,38,4399.99854,4399.99854,4399.99854,4399.99854,16.891819,8.404346,0,4.18838,99.99996,40.17713,12.8259125,19.0975037,38,1571,950.0095,3505.50024,1900.019,0,2,0,37,29.1938782,0,1.953125,691,941,0,0,0,14916,9,29.55665
03/17/2015 17:56:38,4.6875,0,3.125,3.125,2.734375,37,36,38,36,38,4399.99756,4399.99756,4399.99756,4399.99756,19.1637859,10.281498,0,4.26976776,99.99995,40.1772041,12.8259354,19.09748,38,1565,950.0095,3505.50024,1900.019,0,2,0,37,29.1938782,0,2.734375,691,941,2,2,0,14916,9,29.55665
03/17/2015 17:56:39,3.125,0,3.125,0,1.5625,38,37,38,36,38,4399.99756,4399.99756,4399.99756,4399.99756,17.43582,8.575709,0,4.19948339,99.99995,40.17793,12.8261681,19.0972481,38,1567,950.0095,3505.50024,1900.019,0,2,0,37,29.1938782,0,1.5625,691,941,0,0,0,14916,9,29.55665
