,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/fan/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/control/0,/nvidiagpu/0/load/3,/win32/load/0,/win32/load/1,/win32/data2/0,/win32/data2/1,/win32/iops/0,/win32/iops/1,/win32/iops/2,/DirectX/comment/0,/DirectX/comment/1,/DirectX/fps/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Fan","GPU Memory","CPU Usage(Process)","CPU Usage(Global)","Working Set","Page file Usage","Read Ops","Write Ops","Other Ops","Process Id","DirectX Version","FPS(Present)"
03/17/2015 15:37:47,29.6875,12.5,3.125,10.9375,14.0625,55,46,44,43,55,4399.99951,4399.99951,4399.99951,4399.99951,41.1367836,31.2583237,0,6.454949,99.99999,41.96681,13.39724,18.5261765,40,1567,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,12.890625,14.0625,726,954,62,62,0,13608,9,30.03876
03/17/2015 15:37:47,25,10.9375,6.25,10.9375,13.28125,44,53,53,47,54,4399.99951,4399.99951,4399.99951,4399.99951,40.5471344,30.6775551,0,6.4105,99.99999,41.968544,13.3977928,18.5256233,40,1568,950.0095,3505.50024,1900.019,4,6,0,41,31.7720413,11.363636,13.636364,726,954,64,60,0,13608,9,30.03876
03/17/2015 15:37:48,18.75,12.5,3.125,23.4375,14.453125,56,48,54,53,55,4399.999,4399.999,4399.999,4399.999,43.2028122,33.3015366,0,6.45383167,99.99998,41.9629173,13.3959961,18.52742,41,1567,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,13.5593224,15.2542372,726,954,81,68,0,13608,9,30.0678959
03/17/2015 15:37:49,17.1875,10.9375,4.6875,21.875,13.671875,45,55,45,44,55,4399.999,4399.999,4399.999,4399.999,42.189003,32.1412468,0,6.478742,99.99998,41.96454,13.3965149,18.5269012,40,1564,950.0095,3505.50024,1900.019,4,6,0,41,31.7720413,11.25,13.333333,726,954,65,56,0,13608,9,30.0678959
03/17/2015 15:37:50,15.625,14.0625,4.6875,28.125,15.625,44,43,44,52,52,4399.99463,4399.99463,4399.99463,4399.99463,43.79801,33.9171944,0,6.47199154,99.99988,41.9641,13.3963737,18.5270424,40,1564,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,14.0625,15.625,727,955,73,60,0,13608,9,30.0678959
03/17/2015 15:37:51,21.875,12.5,1.5625,12.5,12.109375,45,48,43,42,48,4399.99951,4399.99951,4399.99951,4399.99951,38.2251434,28.1843987,0,6.32649946,99.99999,41.9646835,13.3965607,18.5268555,40,1565,950.0095,3505.50024,1900.019,4,6,0,41,31.7720413,10.9375,12.109375,727,955,59,56,0,13608,9,30.03876
03/17/2015 15:37:52,18.75,9.375,7.8125,18.75,13.671875,50,46,44,44,50,4400,4400,4400,4400,39.0177536,29.0422077,0,6.266683,100,41.9628563,13.395977,18.52744,40,1568,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,12.109375,13.671875,727,955,73,66,0,13608,9,30.0678959
03/17/2015 15:37:52,17.1875,10.9375,4.6875,17.1875,12.5,52,44,45,44,52,4399.99463,4399.99463,4399.99463,4399.99463,37.502533,27.6981869,0,6.318971,99.99988,41.962368,13.3958206,18.5275955,40,1567,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,10.227273,12.5,727,955,73,60,0,13608,9,30.0678959
03/17/2015 15:37:53,21.875,10.9375,1.5625,15.625,12.5,44,46,44,51,54,4399.99463,4399.99463,4399.99463,4399.99463,39.3696442,29.4318,0,6.33019447,99.99988,41.96239,13.3958282,18.5275879,40,1568,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,11.7647057,12.5,727,955,66,66,0,13608,9,29.6084042
03/17/2015 15:37:54,17.1875,7.8125,6.25,18.75,12.5,53,43,44,44,49,4399.96436,4399.96436,4399.96436,4399.96436,38.89962,28.896822,0,6.306657,99.99919,41.9639435,13.3963242,18.527092,41,1568,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,10.546875,12.5,727,955,69,62,0,13608,9,30.0678959
03/17/2015 15:37:54,18.75,9.375,7.8125,14.0625,12.5,56,51,51,48,56,4399.99463,4399.99463,4399.99463,4399.99463,38.9692459,28.9795475,0,6.34325743,99.9998856,41.96288,13.3959846,18.5274315,40,1567,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,9.765625,12.5,727,955,75,64,0,13608,9,30.0678959
03/17/2015 15:37:55,20.3125,9.375,7.8125,17.1875,13.671875,45,47,45,46,47,4399.99463,4399.99463,4399.99463,4399.99463,39.259182,29.11097,0,6.346309,99.9998856,41.9628448,13.3959732,18.5274429,41,1567,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,10.546875,13.671875,727,955,62,62,0,13608,9,30.0678959
03/17/2015 15:37:56,17.1875,6.25,7.8125,18.75,12.5,46,50,45,43,50,4400.00146,4400.00146,4400.00146,4400.00146,36.7859154,26.88043,0,6.22632265,100.000031,41.960743,13.3953018,18.5281143,41,1567,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,10.546875,12.5,727,955,66,66,0,13608,9,30.0678959
03/17/2015 15:37:56,18.4659119,15.246212,9.090906,19.6969681,15.625,53,46,49,49,53,4399.997,4399.997,4399.997,4399.997,41.72299,31.7444153,0,6.361042,99.99994,41.9607658,13.3953094,18.5281067,41,1565,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,12.121212,15.530303,727,955,60,60,0,13608,9,30.0678959
03/17/2015 15:37:57,17.4899216,8.014112,3.22580338,12.9032249,10.40827,45,43,44,53,53,4399.997,4399.997,4399.997,4399.997,39.0121841,28.9942112,0,6.31699657,99.99994,41.9622955,13.3957977,18.5276184,40,1565,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,10.1045294,11.4982576,727,955,78,70,0,13608,9,30.03876
03/17/2015 15:37:58,15.625,6.25,7.8125,18.75,12.109375,51,44,43,43,51,4399.997,4399.997,4399.997,4399.997,37.85508,27.84069,0,6.31242752,99.99994,41.9599762,13.3950577,18.5283585,40,1563,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,10.15625,12.109375,727,955,58,58,0,13608,9,30.03876
03/17/2015 15:37:59,25,9.375,6.25,10.9375,12.890625,52,44,45,43,49,4400,4400,4400,4400,36.65014,26.89857,0,6.269291,100,41.9631767,13.39608,18.5273361,40,1567,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,10.546875,12.890625,728,957,62,62,0,13608,9,30.0678959
03/17/2015 15:37:59,29.6875,10.9375,3.125,10.9375,13.671875,46,52,48,44,52,4400,4400,4400,4400,41.22647,31.332674,0,6.376881,100,41.9610519,13.395401,18.5280151,40,1569,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,11.328125,13.671875,728,957,65,60,0,13608,9,30.0678959
03/17/2015 15:38:00,17.1875,14.0625,7.8125,14.0625,13.28125,48,52,46,49,53,4399.999,4399.999,4399.999,4399.999,42.7387352,32.7359772,0,6.41513872,99.9999847,41.9643364,13.39645,18.5269661,41,1566,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,10.9375,13.28125,729,958,77,60,0,13608,9,29.52756
03/17/2015 15:38:01,20.5882378,16.1764736,7.35294247,13.2352943,14.3382435,56,54,45,43,54,4399.995,4399.995,4399.995,4399.995,39.0814171,29.2470074,0,6.36726,99.99989,41.96442,13.3964767,18.52694,40,1565,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,12.1951218,16.027874,729,958,70,70,0,13608,9,29.52756
03/17/2015 15:38:02,17.1875,9.375,6.25,15.625,12.109375,51,46,44,43,52,4399.998,4399.998,4399.998,4399.998,37.4618454,27.766695,0,6.29465675,99.99996,41.96528,13.3967514,18.5266647,41,1565,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,10.15625,12.109375,729,958,62,62,0,13608,9,30.0678959
03/17/2015 15:38:03,29.6875,17.1875,18.75,12.5,19.53125,54,46,46,44,54,4399.99658,4399.99658,4399.99658,4399.99658,44.2435226,34.4860229,0,6.400887,99.99992,41.9619446,13.3956871,18.527729,40,1563,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,11.71875,19.53125,730,958,62,62,0,13608,9,30.0678959
03/17/2015 15:38:04,18.75,17.1875,6.25,18.75,15.234375,55,55,46,46,55,4399.998,4399.998,4399.998,4399.998,42.4710732,32.4292946,0,6.41109037,99.9999542,41.9635124,13.3961868,18.52723,40,1564,950.0095,3505.50024,1900.019,5,6,0,41,31.7720413,10.546875,15.234375,730,958,70,66,0,13608,9,30.03876
